,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct.1,Non-Conf,Strk,Last 5,year
0,Columbus TigersPanhandles,0,8,0,0.0,24.0,174.0,-150.0,0 - 1 - 0,0 - 7 - 0,- -,,- -,,- -,8L,0 - 5 - 0,1922
1,Evansville Crimson GiantsCrimson Giants,0,3,0,0.0,6.0,88.0,-82.0,0 - 0 - 0,0 - 3 - 0,- -,,- -,,- -,3L,0 - 3 - 0,1922
2,Hammond ProsHammond Pros,0,5,1,0.0,0.0,69.0,-69.0,0 - 0 - 0,0 - 5 - 1,- -,,- -,,- -,2L,0 - 4 - 1,1922
3,Rochester JeffersonsJeffersons,0,4,1,0.0,13.0,76.0,-63.0,0 - 1 - 0,0 - 3 - 1,- -,,- -,,- -,4L,0 - 4 - 1,1922
4,Louisville ColonelsBrecks,1,3,0,0.25,13.0,140.0,-127.0,1 - 0 - 0,0 - 3 - 0,- -,,- -,,- -,1W,1 - 3 - 0,1922
5,Minneapolis Red JacketsMarines,1,3,0,0.25,19.0,40.0,-21.0,1 - 0 - 0,0 - 3 - 0,- -,,- -,,- -,1L,1 - 3 - 0,1922
6,Milwaukee BadgersBadgers,2,4,3,0.333,51.0,71.0,-20.0,2 - 0 - 2,0 - 4 - 1,- -,,- -,,- -,3L,1 - 3 - 1,1922
7,Akron IndiansAkron Pros,3,5,2,0.375,146.0,95.0,51.0,3 - 1 - 1,0 - 4 - 1,- -,,- -,,- -,3L,0 - 4 - 1,1922
8,Oorang IndiansIndians,3,6,0,0.333,69.0,190.0,-121.0,1 - 0 - 0,2 - 6 - 0,- -,,- -,,- -,2W,2 - 3 - 0,1922
9,Dayton TrianglesTriangles,4,3,1,0.571,80.0,62.0,18.0,3 - 1 - 1,1 - 2 - 0,- -,,- -,,- -,1W,2 - 3 - 0,1922
10,Green Bay PackersPackers,4,3,3,0.571,70.0,54.0,16.0,3 - 1 - 1,1 - 2 - 2,- -,,- -,,- -,2W,4 - 0 - 1,1922
11,Rock Island IndependentsIndependents,4,2,1,0.667,154.0,27.0,127.0,4 - 1 - 0,0 - 1 - 1,- -,,- -,,- -,1L,3 - 1 - 1,1922
12,Buffalo BisonsAll-Americans,5,4,1,0.556,87.0,41.0,46.0,3 - 1 - 1,2 - 3 - 0,- -,,- -,,- -,2W,2 - 2 - 1,1922
13,Kenosha MaroonsMaroons,5,2,2,0.714,94.0,59.0,35.0,4 - 1 - 1,1 - 1 - 1,- -,,- -,,- -,2L,2 - 2 - 1,1922
14,Racine TornadoesLegion,6,4,1,0.6,122.0,56.0,66.0,5 - 3 - 1,1 - 1 - 0,- -,,- -,,- -,1L,3 - 1 - 1,1922
15,Arizona CardinalsCardinals,8,3,0,0.727,96.0,50.0,46.0,8 - 2 - 0,0 - 1 - 0,- -,,- -,,- -,1W,2 - 3 - 0,1922
16,Chicago BearsBears,9,3,0,0.75,123.0,44.0,79.0,7 - 1 - 0,2 - 2 - 0,- -,,- -,,- -,1L,3 - 2 - 0,1922
17,Canton BulldogsBulldogs,10,0,2,1.0,184.0,15.0,169.0,6 - 0 - 1,4 - 0 - 1,- -,,- -,,- -,6W,5 - 0 - 0,1922
0,Louisville ColonelsBrecks,0,3,0,0.0,0.0,90.0,-90.0,0 - 1 - 0,0 - 2 - 0,- -,,- -,,- -,3L,0 - 3 - 0,1923
1,Rochester JeffersonsJeffersons,0,4,0,0.0,6.0,141.0,-135.0,0 - 2 - 0,0 - 2 - 0,- -,,- -,,- -,4L,0 - 4 - 0,1923
2,Akron IndiansAkron Pros,1,6,0,0.143,25.0,74.0,-49.0,1 - 0 - 0,0 - 6 - 0,- -,,- -,,- -,1W,1 - 4 - 0,1923
3,Dayton TrianglesTriangles,1,6,1,0.143,16.0,95.0,-79.0,1 - 0 - 0,0 - 6 - 1,- -,,- -,,- -,2L,0 - 4 - 1,1923
4,Hammond ProsHammond Pros,1,5,1,0.167,14.0,59.0,-45.0,1 - 0 - 0,0 - 5 - 1,- -,,- -,,- -,4L,0 - 4 - 1,1923
5,Oorang IndiansOorang Indians,1,10,0,0.091,50.0,257.0,-207.0,0 - 0 - 0,1 - 10 - 0,- -,,- -,,- -,1W,1 - 4 - 0,1923
6,St. Louis All-StarsAll-Stars,1,4,2,0.2,14.0,39.0,-25.0,1 - 2 - 1,0 - 2 - 1,- -,,- -,,- -,1L,1 - 4 - 0,1923
7,Minneapolis Red JacketsMarines,2,5,2,0.286,48.0,81.0,-33.0,2 - 1 - 1,0 - 4 - 1,- -,,- -,,- -,1L,1 - 2 - 2,1923
8,Rock Island IndependentsIndependents,2,3,3,0.4,84.0,62.0,22.0,2 - 1 - 2,0 - 2 - 1,- -,,- -,,- -,1L,0 - 3 - 2,1923
9,Cleveland BulldogsIndians,3,1,3,0.75,52.0,49.0,3.0,3 - 1 - 1,0 - 0 - 2,- -,,- -,,- -,1L,2 - 1 - 2,1923
10,Kenosha MaroonsMaroons,3,3,2,0.5,35.0,66.0,-31.0,2 - 1 - 0,1 - 2 - 2,- -,,- -,,- -,1L,1 - 3 - 1,1923
11,Newark TornadoesKelleys,4,3,0,0.571,35.0,33.0,2.0,3 - 0 - 0,1 - 3 - 0,- -,,- -,,- -,3L,2 - 3 - 0,1923
12,Racine TornadoesLegion,4,4,2,0.5,86.0,76.0,10.0,2 - 3 - 1,2 - 1 - 1,- -,,- -,,- -,1W,2 - 3 - 0,1923
13,Buffalo BisonsAll-Americans,5,4,3,0.556,94.0,43.0,51.0,3 - 0 - 3,2 - 4 - 0,- -,,- -,,- -,1L,2 - 2 - 1,1923
14,Columbus TigersTigers,5,4,1,0.556,119.0,35.0,84.0,4 - 2 - 0,1 - 2 - 1,- -,,- -,,- -,1L,3 - 2 - 0,1923
15,Green Bay PackersPackers,7,2,1,0.778,85.0,34.0,51.0,4 - 2 - 1,3 - 0 - 0,- -,,- -,,- -,5W,5 - 0 - 0,1923
16,Milwaukee BadgersBadgers,7,2,3,0.778,100.0,49.0,51.0,3 - 1 - 2,4 - 1 - 1,- -,,- -,,- -,1W,3 - 1 - 1,1923
17,Arizona CardinalsCardinals,8,4,0,0.667,161.0,56.0,105.0,8 - 3 - 0,0 - 1 - 0,- -,,- -,,- -,1L,2 - 3 - 0,1923
18,Chicago BearsBears,9,2,1,0.818,123.0,35.0,88.0,7 - 1 - 1,2 - 1 - 0,- -,,- -,,- -,1W,4 - 0 - 1,1923
19,Canton BulldogsBulldogs,11,0,1,1.0,246.0,19.0,227.0,7 - 0 - 0,4 - 0 - 1,- -,,- -,,- -,5W,5 - 0 - 0,1923
0,Kenosha MaroonsMaroons,0,4,1,0.0,12.0,117.0,-105.0,0 - 0 - 1,0 - 4 - 0,- -,,- -,,- -,2L,0 - 4 - 1,1924
1,Minneapolis Red JacketsMarines,0,6,0,0.0,14.0,108.0,-94.0,0 - 1 - 0,0 - 5 - 0,- -,,- -,,- -,6L,0 - 5 - 0,1924
2,Rochester JeffersonsJeffersons,0,7,0,0.0,7.0,156.0,-149.0,0 - 3 - 0,0 - 4 - 0,- -,,- -,,- -,7L,0 - 5 - 0,1924
3,Akron IndiansAkron Pros,2,6,0,0.25,59.0,132.0,-73.0,1 - 1 - 0,1 - 5 - 0,- -,,- -,,- -,1W,1 - 4 - 0,1924
4,Dayton TrianglesTriangles,2,6,0,0.25,45.0,148.0,-103.0,1 - 1 - 0,1 - 5 - 0,- -,,- -,,- -,6L,0 - 5 - 0,1924
5,Hammond ProsHammond Pros,2,2,1,0.5,18.0,45.0,-27.0,0 - 0 - 0,2 - 2 - 1,- -,,- -,,- -,2W,2 - 2 - 1,1924
6,Kansas City CowboysBlues,2,7,0,0.222,46.0,124.0,-78.0,2 - 2 - 0,0 - 5 - 0,- -,,- -,,- -,2L,1 - 4 - 0,1924
7,Columbus TigersTigers,4,4,0,0.5,91.0,68.0,23.0,2 - 0 - 0,2 - 4 - 0,- -,,- -,,- -,1L,3 - 2 - 0,1924
8,Racine TornadoesLegion,4,3,3,0.571,69.0,47.0,22.0,3 - 1 - 0,1 - 2 - 3,- -,,- -,,- -,1W,1 - 2 - 2,1924
9,Arizona CardinalsCardinals,5,4,1,0.556,90.0,67.0,23.0,5 - 3 - 1,0 - 1 - 0,- -,,- -,,- -,1L,2 - 2 - 1,1924
10,Milwaukee BadgersBadgers,5,8,0,0.385,142.0,188.0,-46.0,3 - 2 - 0,2 - 6 - 0,- -,,- -,,- -,2L,1 - 4 - 0,1924
11,Newark TornadoesKelleys,5,1,0,0.833,56.0,16.0,40.0,3 - 0 - 0,2 - 1 - 0,- -,,- -,,- -,1W,4 - 1 - 0,1924
12,Rock Island IndependentsIndependents,5,2,2,0.714,88.0,38.0,50.0,4 - 1 - 1,1 - 1 - 1,- -,,- -,,- -,1L,2 - 2 - 1,1924
13,Buffalo BisonsBisons,6,5,0,0.545,120.0,140.0,-20.0,5 - 3 - 0,1 - 2 - 0,- -,,- -,,- -,3L,2 - 3 - 0,1924
14,Chicago BearsBears,6,1,4,0.857,136.0,55.0,81.0,5 - 0 - 3,1 - 1 - 1,- -,,- -,,- -,3W,4 - 0 - 1,1924
15,Cleveland BulldogsBulldogs,7,1,1,0.875,229.0,60.0,169.0,6 - 1 - 0,1 - 0 - 1,- -,,- -,,- -,2W,4 - 1 - 0,1924
16,Green Bay PackersPackers,7,4,0,0.636,108.0,38.0,70.0,5 - 0 - 0,2 - 4 - 0,- -,,- -,,- -,1L,3 - 2 - 0,1924
17,Frankford Yellow JacketsYellow Jackets,11,2,1,0.846,326.0,109.0,217.0,9 - 0 - 1,2 - 2 - 0,- -,,- -,,- -,8W,5 - 0 - 0,1924
0,Columbus TigersTigers,0,9,0,0.0,28.0,124.0,-96.0,0 - 0 - 0,0 - 9 - 0,- -,,- -,,- -,9L,0 - 5 - 0,1925
1,Dayton TrianglesTriangles,0,7,1,0.0,3.0,84.0,-81.0,0 - 0 - 0,0 - 7 - 1,- -,,- -,,- -,7L,0 - 5 - 0,1925
2,Milwaukee BadgersBadgers,0,5,0,0.0,7.0,132.0,-125.0,0 - 1 - 0,0 - 4 - 0,- -,,- -,,- -,5L,0 - 5 - 0,1925
3,Newark TornadoesKelleys,0,3,0,0.0,6.0,25.0,-19.0,0 - 2 - 0,0 - 1 - 0,- -,,- -,,- -,3L,0 - 3 - 0,1925
4,Rochester JeffersonsJeffersons,0,6,1,0.0,26.0,111.0,-85.0,0 - 0 - 0,0 - 6 - 1,- -,,- -,,- -,5L,0 - 5 - 0,1925
5,Buffalo BisonsBisons,1,6,2,0.143,33.0,113.0,-80.0,1 - 1 - 2,0 - 5 - 0,- -,,- -,,- -,4L,1 - 4 - 0,1925
